Display Name	Registry Name	Display Version	Registry Time	Install Date	Installed For	Install Location	Publisher	Uninstall String	Change Install String	Quiet Uninstall String	Comments	About URL	Update Info URL	Help Link	Install Source	Installer Name	Release Type	Display Icon Path	MSI Filename	Estimated Size	Attributes	Language	Parent Key Name	Registry Key
UserGuide	InstallShield_{F07C2CF8-4C53-4EC3-8162-A6221E36EB88}	1.0.0.9	21.12.2017 11:54:05	29.11.2013	All Users (32-Bit)	C:\Program Files (x86)\Lenovo\UserGuide\	Lenovo	"C:\Program Files (x86)\InstallShield Installation Information\{F07C2CF8-4C53-4EC3-8162-A6221E36EB88}\setup.exe" -runfromtemp -l0x0419  -removeonly	"C:\Program Files (x86)\InstallShield Installation Information\{F07C2CF8-4C53-4EC3-8162-A6221E36EB88}\setup.exe" -runfromtemp -l0x0419 			http://www.Lenovo.com			C:\SWTOOLS\Apps\E801UGWW\UGCT\			C:\WINDOWS\Installer\{F07C2CF8-4C53-4EC3-8162-A6221E36EB88}\ARPPRODUCTICON.exe		26 156 KB	No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{F07C2CF8-4C53-4EC3-8162-A6221E36EB88}	
Lenovo App Explorer	Host App Service	0.273.2.343	04.03.2018 22:46:02		Default	%LOCALAPPDATA%\Host App Service	SweetLabs for Lenovo	"%LOCALAPPDATA%\Host App Service\Uninstall.exe"										%LOCALAPPDATA%\Host App Service\IconCache\persistent\Lenovo App Explorer.ico			No Modify, No Repair			HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Uninstall\Host App Service	
Lenovo App Explorer	Host App Service	0.273.2.780	12.10.2018 19:08:30		Install	C:\Users\Install\AppData\Local\Host App Service	SweetLabs for Lenovo	"C:\Users\Install\AppData\Local\Host App Service\Uninstall.exe"										%LOCALAPPDATA%\Host App Service\IconCache\persistent\Lenovo App Explorer.ico			No Modify, No Repair			HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Uninstall\Host App Service	

Dropbox 25 GB	{84D8451D-2ED6-3A59-ABA5-2A447F7C6310}	4.1.2.0	20.03.2017 3:34:21	20.03.2017	All Users (32-Bit)		Dropbox, Inc.	MsiExec.exe /I{84D8451D-2ED6-3A59-ABA5-2A447F7C6310}	MsiExec.exe /I{84D8451D-2ED6-3A59-ABA5-2A447F7C6310}	msiexec.exe /x {84D8451D-2ED6-3A59-ABA5-2A447F7C6310} /qn					C:\SWSetup\APP\Applications\DropBox\DropBox_PPUTB2\4.1.2.0\src\src\	Windows Installer				3�465 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{84D8451D-2ED6-3A59-ABA5-2A447F7C6310}
Avast SecureLine	{2CD3C92F-EDC5-4B02-9B0A-9C1D37C58EF5}_is1	1.0.239.2	05.09.2018 20:21:07	05.09.2018	All Users (64-Bit)	C:\Program Files\AVAST Software\SecureLine\	AVAST Software	"C:\Program Files\AVAST Software\SecureLine\unins000.exe"		"C:\Program Files\AVAST Software\SecureLine\unins000.exe" /SILENT						Inno Setup		C:\Program Files\AVAST Software\SecureLine\SecureLine.exe		69 204 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{2CD3C92F-EDC5-4B02-9B0A-9C1D37C58EF5}_is1	

CyberLink YouCam	InstallShield_{01FB4998-33C4-4431-85ED-079E3EEFE75D}	5.0.2.3302	27.12.2017 9:05:43	28.01.2014	All Users (32-Bit)	C:\Program Files (x86)\CyberLink\YouCam	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{01FB4998-33C4-4431-85ED-079E3EEFE75D}\Setup.exe" /z-uninstall				http://www.CyberLink.com		http://support.gocyberlink.com/	C:\SWSetup\YouCam\			C:\Windows\Installer\{01FB4998-33C4-4431-85ED-079E3EEFE75D}\ARPPRODUCTICON.exe		299 008 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{01FB4998-33C4-4431-85ED-079E3EEFE75D}	
CyberLink YouCam	{A9CEDD6E-4792-493e-BB35-D86D2E188A5A}	6.0.1.4301	05.09.2018 20:21:07		All Users (32-Bit)	C:\Program Files (x86)\CyberLink\YouCam6	CyberLink Corp.	C:\Program Files (x86)\NSIS Uninstall Information\{A9CEDD6E-4792-493e-BB35-D86D2E188A5A}\Setup.exe _?=C:\Program Files (x86)\NSIS Uninstall Information\{A9CEDD6E-4792-493e-BB35-D86D2E188A5A}		msiexec.exe /x {A9CEDD6E-4792-493e-BB35-D86D2E188A5A} /qn		http://www.cyberlink.com		http://www.cyberlink.com/support/index.html		Windows Installer		C:\Program Files (x86)\NSIS Uninstall Information\{A9CEDD6E-4792-493e-BB35-D86D2E188A5A}\Product.ico		542 720 KB				HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{A9CEDD6E-4792-493e-BB35-D86D2E188A5A}	
CyberLink Media Suite 10	InstallShield_{1FBF6C24-C1fD-4101-A42B-0C564F9E8E79}	10.0.5.3303	27.12.2017 9:05:43	28.01.2014	All Users (32-Bit)	C:\Program Files (x86)\CyberLink\Media Suite	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{1FBF6C24-C1fD-4101-A42B-0C564F9E8E79}\Setup.exe" /z-uninstall				http://www.CyberLink.com		http://support.gocyberlink.com/	C:\SWSetup\CyberMS\			C:\Windows\Installer\{1FBF6C24-C1fD-4101-A42B-0C564F9E8E79}\ARPPRODUCTICON.exe		62 464 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{1FBF6C24-C1fD-4101-A42B-0C564F9E8E79}	
CyberLink Power2Go 8	InstallShield_{2A87D48D-3FDF-41fd-97CD-A1E370EFFFE2}	8.0.5.3416	27.12.2017 9:05:43	28.01.2014	All Users (32-Bit)	C:\Program Files (x86)\CyberLink\Power2Go8	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{2A87D48D-3FDF-41fd-97CD-A1E370EFFFE2}\Setup.exe" /z-uninstall				http://www.CyberLink.com		http://support.gocyberlink.com/	C:\SWSetup\p2Go\			C:\Windows\Installer\{2A87D48D-3FDF-41fd-97CD-A1E370EFFFE2}\ARPPRODUCTICON.exe		414 720 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{2A87D48D-3FDF-41fd-97CD-A1E370EFFFE2}	
CyberLink PowerDVD 12	InstallShield_{B46BEA36-0B71-4A4E-AE41-87241643FA0A}	12.0.2.3418	27.12.2017 9:05:43	28.01.2014	All Users (32-Bit)	C:\Program Files (x86)\CyberLink\PowerDVD12	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{B46BEA36-0B71-4A4E-AE41-87241643FA0A}\Setup.exe" /z-uninstall				http://www.CyberLink.com		http://support.gocyberlink.com/	C:\SWSetup\PWDVD12\			C:\Windows\Installer\{B46BEA36-0B71-4A4E-AE41-87241643FA0A}\ARPPRODUCTICON.exe		316 416 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{B46BEA36-0B71-4A4E-AE41-87241643FA0A}	
CyberLink LabelPrint	InstallShield_{C59C179C-668D-49A9-B6EA-0121CCFC1243}	2.5.5.6902	27.12.2017 9:05:43	28.01.2014	All Users (32-Bit)	C:\Program Files (x86)\CyberLink\LabelPrint\	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{C59C179C-668D-49A9-B6EA-0121CCFC1243}\setup.exe" /z-uninstall				http://www.CyberLink.com		http://support.gocyberlink.com/	C:\SWSetup\CyberLP\			C:\Windows\Installer\{C59C179C-668D-49A9-B6EA-0121CCFC1243}\ARPPRODUCTICON.exe		286 752 KB				HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{C59C179C-668D-49A9-B6EA-0121CCFC1243}	
CyberLink PhotoDirector	InstallShield_{5A454EC5-217A-42a5-8CE1-2DDEC4E70E01}	5.0.5.6713	05.09.2018 20:21:07		All Users (32-Bit)	C:\Program Files\CyberLink\PhotoDirector	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{5A454EC5-217A-42a5-8CE1-2DDEC4E70E01}\Setup.exe" /z-uninstall										c:\Windows\Installer\{5A454EC5-217A-42a5-8CE1-2DDEC4E70E01}\ARPPRODUCTICON.exe		449 536 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{5A454EC5-217A-42a5-8CE1-2DDEC4E70E01}	
CyberLink PowerDirector 12	InstallShield_{E1646825-D391-42A0-93AA-27FA810DA093}	12.0.4.4301	05.09.2018 20:21:07		All Users (32-Bit)	C:\Program Files\CyberLink\PowerDirector12	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{E1646825-D391-42A0-93AA-27FA810DA093}\Setup.exe" /z-uninstall										c:\Windows\Installer\{E1646825-D391-42A0-93AA-27FA810DA093}\ARPPRODUCTICON.exe		936 960 KB	No Modify, No Repair			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\InstallShield_{E1646825-D391-42A0-93AA-27FA810DA093}	
	{5A454EC5-217A-42a5-8CE1-2DDEC4E70E01}	5.0.5.6713	05.09.2018 20:21:07		All Users (32-Bit)	C:\Program Files\CyberLink\PhotoDirector	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{5A454EC5-217A-42a5-8CE1-2DDEC4E70E01}\Setup.exe" /z-uninstall		msiexec.exe /x {5A454EC5-217A-42a5-8CE1-2DDEC4E70E01} /qn						Windows Installer		C:\Program Files\CyberLink\PhotoDirector\PhotoDirector5.exe		449 536 KB				HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{5A454EC5-217A-42a5-8CE1-2DDEC4E70E01}	
CyberLink Power Media Player 14	{32C8E300-BDB4-4398-92C2-E9B7D8A233DB}	14.0.1.5418	05.09.2018 20:21:07		All Users (32-Bit)	C:\Program Files (x86)\CyberLink\PowerDVD14	CyberLink Corp.	C:\Program Files (x86)\NSIS Uninstall Information\{32C8E300-BDB4-4398-92C2-E9B7D8A233DB}\Setup.exe _?=C:\Program Files (x86)\NSIS Uninstall Information\{32C8E300-BDB4-4398-92C2-E9B7D8A233DB}		msiexec.exe /x {32C8E300-BDB4-4398-92C2-E9B7D8A233DB} /qn		http://www.cyberlink.com		http://www.cyberlink.com/support/index.html		Windows Installer		C:\Program Files (x86)\NSIS Uninstall Information\{32C8E300-BDB4-4398-92C2-E9B7D8A233DB}\Product.ico		472 064 KB				HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{32C8E300-BDB4-4398-92C2-E9B7D8A233DB}	
	{E1646825-D391-42A0-93AA-27FA810DA093}	12.0.4.4301	05.09.2018 20:21:07		All Users (32-Bit)	C:\Program Files\CyberLink\PowerDirector12	CyberLink Corp.	"C:\Program Files (x86)\InstallShield Installation Information\{E1646825-D391-42A0-93AA-27FA810DA093}\Setup.exe" /z-uninstall		msiexec.exe /x {E1646825-D391-42A0-93AA-27FA810DA093} /qn						Windows Installer		C:\Program Files\CyberLink\PowerDirector12\PDR12.exe		936 960 KB				HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{E1646825-D391-42A0-93AA-27FA810DA093}	

OEM Application Profile	{70D5F822-F4C4-33D9-7EEC-2A4AF4EA7BDC}	1.00.0000	28.01.2014 17:36:20	28.01.2014	All Users (32-Bit)	C:\Program Files (x86)\ATI Technologies\	Название организации	MsiExec.exe /X{70D5F822-F4C4-33D9-7EEC-2A4AF4EA7BDC}	MsiExec.exe /X{70D5F822-F4C4-33D9-7EEC-2A4AF4EA7BDC}	msiexec.exe /x {70D5F822-F4C4-33D9-7EEC-2A4AF4EA7BDC} /qn		http://www.AMD.com			C:\SWSetup\Drivers\VGA_KK_UMA\Packages\Apps\OEMAppProfiles\	Windows Installer				9 KB	No Modify, Windows Installer			HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{70D5F822-F4C4-33D9-7EEC-2A4AF4EA7BDC}	
Microsoft Office	{90150000-0138-0409-0000-0000000FF1CE}	15.0.4454.1510	07.11.2013 14:48:59	07.11.2013	All Users (32-Bit)		Microsoft Corporation	MsiExec.exe /X{90150000-0138-0409-0000-0000000FF1CE}	MsiExec.exe /X{90150000-0138-0409-0000-0000000FF1CE}	msiexec.exe /x {90150000-0138-0409-0000-0000000FF1CE} /qn					C:\ProgramData\Microsoft\OEMOffice15\OOBE\x86\	Windows Installer				303 365 KB	No Modify, Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{90150000-0138-0409-0000-0000000FF1CE}	
Microsoft SQL Server 2005 Compact Edition [ENU]	{F0B430D1-B6AA-473D-9B06-AA3DD01FD0B8}	3.1.0000	07.11.2013 14:53:07	07.11.2013	All Users (32-Bit)	C:\Program Files (x86)\Microsoft SQL Server Compact Edition\	Microsoft Corporation	MsiExec.exe /I{F0B430D1-B6AA-473D-9B06-AA3DD01FD0B8}	MsiExec.exe /I{F0B430D1-B6AA-473D-9B06-AA3DD01FD0B8}	msiexec.exe /x {F0B430D1-B6AA-473D-9B06-AA3DD01FD0B8} /qn				http://www.microsoft.com/sql/everywhere	C:\Program Files (x86)\Common Files\Windows Live\.cache\71df38921cedba710\	Windows Installer				1 972 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{F0B430D1-B6AA-473D-9B06-AA3DD01FD0B8}	
Основные компоненты Windows Live	WinLiveSuite	16.4.3508.0205	07.11.2013 14:53:22		All Users (32-Bit)	C:\Program Files (x86)\Windows Live\	Microsoft Corporation	C:\Program Files (x86)\Windows Live\Installer\wlarp.exe				http://explore.live.com/windows-live-essentials	http://explore.live.com/windows-live-essentials					C:\Program Files (x86)\Windows Live\Installer\wlarp.exe				ru-RU		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\WinLiveSuite	

7-Zip 9.20 (x64 edition)	{23170F69-40C1-2702-0920-000001000000}	9.20.00.0	07.11.2013 14:33:57	07.11.2013	All Users (64-Bit)		Igor Pavlov	MsiExec.exe /I{23170F69-40C1-2702-0920-000001000000}	MsiExec.exe /I{23170F69-40C1-2702-0920-000001000000}	msiexec.exe /x {23170F69-40C1-2702-0920-000001000000} /qn		http://www.7-zip.org/	http://www.7-zip.org/download.html	http://www.7-zip.org/support.html	C:\SwSetup\7ZIP\	Windows Installer				4 641 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{23170F69-40C1-2702-0920-000001000000}	
Bonjour	{6E3610B2-430D-4EB0-81E3-2B57E8B9DE8D}	3.0.0.10	28.01.2014 17:43:48	28.01.2014	All Users (64-Bit)	C:\Program Files (x86)\Bonjour\	Apple Inc.	MsiExec.exe /X{6E3610B2-430D-4EB0-81E3-2B57E8B9DE8D}	MsiExec.exe /X{6E3610B2-430D-4EB0-81E3-2B57E8B9DE8D}	msiexec.exe /x {6E3610B2-430D-4EB0-81E3-2B57E8B9DE8D} /qn		http://www.apple.com	http://www.apple.com/ru/	http://www.apple.com/ru/support/	C:\Windows\system32\spool\DRIVERS\x64\3\	Windows Installer				2 052 KB	No Modify, Windows Installer	ru-RU		HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{6E3610B2-430D-4EB0-81E3-2B57E8B9DE8D}	
Adobe Shockwave Player 12.0	Adobe Shockwave Player	12.0.4.144	27.12.2017 9:05:43		All Users (32-Bit)	C:\windows\SysWOW64\Adobe	Adobe Systems, Inc.	"C:\windows\SysWOW64\Adobe\Shockwave 12\uninstaller.exe"				http://www.adobe.com	http://www.adobe.com/software/shockwaveplayer/index.html	http://www.adobe.com/support/shockwave				C:\windows\SysWOW64\Adobe\Shockwave 12\SwInit.exe						HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Adobe Shockwave Player	

Vulkan Run Time Libraries 1.0.11.1	VulkanRT1.0.11.1	1.0.11.1	30.05.17 03:29		All Users (64-Bit)	C:\Program Files (x86)\VulkanRT\1.0.11.1	LunarG, Inc.	C:\Program Files (x86)\VulkanRT\1.0.11.1\UninstallVulkanRT.exe										C:\Program Files (x86)\VulkanRT\1.0.11.1\V.ico		1 700 KB				HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\VulkanRT1.0.11.1
Vulkan Run Time Libraries 1.0.33.0	VulkanRT1.0.33.0	1.0.33.0	22.06.2017 7:34:58		All Users (64-Bit)	C:\Program Files (x86)\VulkanRT\1.0.33.0	LunarG, Inc.	C:\Program Files (x86)\VulkanRT\1.0.33.0\UninstallVulkanRT.exe										C:\Program Files (x86)\VulkanRT\1.0.33.0\V.ico		1�700 KB				HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\VulkanRT1.0.33.0
NVIDIA GeForce Experience 2.11.4.0	{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}_Display.GFExperience	2.11.4.0	30.05.17 03:31	29.05.17	All Users (64-Bit)	C:\Program Files (x86)\NVIDIA Corporation\NVIDIA GeForce Experience	NVIDIA Corporation	"C:\Windows\SysWOW64\RunDll32.EXE" "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL",UninstallPackage Display.GFExperience							C:\Program Files\NVIDIA Corporation\Installer2\Display.GFExperience.{3F6E7384-5658-4DD9-80D0-91DA25B3DC67}			C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll				ru-RU		HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}_Display.GFExperience

Cisco EAP-FAST Module	{64BF0187-F3D2-498B-99EA-163AF9AE6EC9}	2.2.14	22.06.2017 7:35:50	22.06.2017	All Users (32-Bit)	C:\Program Files (x86)\Cisco\Cisco EAP-FAST Module	Cisco Systems, Inc.	MsiExec.exe /I{64BF0187-F3D2-498B-99EA-163AF9AE6EC9}	MsiExec.exe /I{64BF0187-F3D2-498B-99EA-163AF9AE6EC9}	msiexec.exe /x {64BF0187-F3D2-498B-99EA-163AF9AE6EC9} /qn		www.cisco.com			C:\PROGRA~2\Realtek\PCIEWI~1\EAP\	Windows Installer				1�576 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{64BF0187-F3D2-498B-99EA-163AF9AE6EC9}
Cisco LEAP Module	{AF312B06-5C5C-468E-89B3-BE6DE2645722}	1.0.19	22.06.2017 7:35:52	22.06.2017	All Users (32-Bit)	C:\Program Files (x86)\Cisco\Cisco LEAP Module	Cisco Systems, Inc.	MsiExec.exe /I{AF312B06-5C5C-468E-89B3-BE6DE2645722}	MsiExec.exe /I{AF312B06-5C5C-468E-89B3-BE6DE2645722}	msiexec.exe /x {AF312B06-5C5C-468E-89B3-BE6DE2645722} /qn		www.cisco.com			C:\PROGRA~2\Realtek\PCIEWI~1\EAP\	Windows Installer				632 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{AF312B06-5C5C-468E-89B3-BE6DE2645722}
Cisco PEAP Module	{0A4EF0E6-A912-4CDE-A7F3-6E56E7C13A2F}	1.1.6	22.06.2017 7:35:51	22.06.2017	All Users (32-Bit)	C:\Program Files (x86)\Cisco\Cisco PEAP Module	Cisco Systems, Inc.	MsiExec.exe /I{0A4EF0E6-A912-4CDE-A7F3-6E56E7C13A2F}	MsiExec.exe /I{0A4EF0E6-A912-4CDE-A7F3-6E56E7C13A2F}	msiexec.exe /x {0A4EF0E6-A912-4CDE-A7F3-6E56E7C13A2F} /qn		www.cisco.com			C:\PROGRA~2\Realtek\PCIEWI~1\EAP\	Windows Installer				1�252 KB	Windows Installer	en-US		HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{0A4EF0E6-A912-4CDE-A7F3-6E56E7C13A2F}
