#coding:CP866
nvpbee	Новопавловск Билайн
nvpmts	Новопавловск МТС
krasnknk	Краснокумское НК
nezlnk	Незлобная НК
lysognk	Лысогорская НК
grgnk.ce	Георгиевск НК Центральный вход
grgnk.ka	Георгиевск НК Калинина
grgnk.ptg	Георгиевск НК Пятигорская
grgtmrz	Георгиевск ЦГ Тимирязева
grgnk.sodr	Георгиевск НК Содружество
grgbee2	Георгиевск Билайн
grgmegafon	Георгиевск Мегафон
